Acer erythrocarpum
Vilfa vulgaris
Agrostis stricta
Agrostis tenuis
Agrostis mutabilis
Agrostis maritima
Agrostis stricta
Agrostis ericetorum
Agrostis tenuifolia
Allium arenarium
Atriplex maritima
Bromus gracilis
Agrostis umbrosa
Carex spadicea
Carex intermedia
Carex fulva
Carex intermedia
Carex fulva
Carex patula
Cirsium spurium
Cochlearia alpina
Crepis agrestis
Eruca muralis
Epilobium villosum
Festuca pratensis
Galium diffusum
Galium valantia
Geranium batrachioides
Glyceria aquatica
Schoenus ferrugineus
Juncus divaricatus
Matricaria suaveolens
Chrysanthemum suaveolens
Melilotus giganteus
Trifolium vulgare
Mentha latifolia
Mentha sativa
Mentha paludosa
Mentha dubia
Mentha palustris
Mentha odorata
Mentha intermedia
Picea grandis
Poa muralis
Poa variegata
Poa caerulea
Poa dubia
Poa angustifolia
Poa dubia
Poa setacea
Potamogeton lanceolatus
Potamogeton heterophyllus
Potamogeton acuminatus
Potamogeton gracilis
Potentilla sylvestris
Abies menziesii
Poa arenaria
Batrachium pantothrix
Batrachium radians
Erysimum barbarea
Rosa cinerascens
Schoenus compressus
Lychnis vespertina
Cucubalus littoralis
Sonchus glaber
Sparganium simplex
Alsine maritima
Alsine apetala
Atriplex maritima
Melilotus lupulinus
Trifolium lupulinum
Trifolium villosum
Trifolium album
Matricaria suaveolens
Matricaria salina
Anthemis vulgaris
Typha elatior
Typha media
